model,diagnostic_reasoning_avg,medication_safety_avg,total_cases
gpt55,3.545814479638009,3.5285067873303166,442
gpt5,3.369343891402715,3.519683257918552,442
gpt4o,2.686651583710407,3.430769230769231,442
claude46,3.0361990950226243,3.5009049773755656,442
claude4,2.6289592760180995,3.3728506787330317,442
deepseekv4,2.992081447963801,3.7328054298642535,442
deepseek,2.728506787330317,3.6052036199095023,442
qwen35,2.8721719457013575,3.7773755656108596,442
qwen3,2.6334841628959276,3.6339366515837104,442
medgemma,2.867081447963801,3.1251131221719457,442
huatuo,2.8574660633484164,3.6332579185520366,442
baichuan,2.9824660633484164,3.591855203619909,442
