model,exact_match,partial_match,diagnostic_reasoning_avg,medication_safety_avg,total_cases
gpt55,0.08421052631578947,0.7842105263157895,3.807894736842105,3.545263157894737,190
gpt5,0.04736842105263158,0.8631578947368421,3.6157894736842104,3.5573684210526313,190
gpt4o,0.042105263157894736,0.6473684210526316,2.9,3.503684210526316,190
claude46,0.031578947368421054,0.8105263157894737,3.2855263157894736,3.536842105263158,190
claude4,0.042105263157894736,0.7473684210526316,2.8907894736842104,3.45,190
medgemma,0.05263157894736842,0.7157894736842105,3.088157894736842,3.153684210526316,190
qwen35,0.021052631578947368,0.7947368421052632,3.1144736842105263,3.8389473684210524,190
qwen3,0.042105263157894736,0.6842105263157895,2.817105263157895,3.6163157894736844,190
baichuan,0.04736842105263158,0.8157894736842105,3.1342105263157896,3.5926315789473686,190
huatuo,0.04736842105263158,0.6736842105263158,3.0723684210526314,3.6252631578947367,190
deepseekv4,0.07368421052631578,0.7947368421052632,3.156578947368421,3.7863157894736843,190
deepseek,0.031578947368421054,0.6842105263157895,3.011842105263158,3.6068421052631576,190
