RawDomain,Diagnostic Reasoning,Diagnostic Reasoning,Diagnostic Reasoning,Diagnostic Reasoning,Diagnostic Reasoning,Ethics,Ethics,Ethics,Ethics,Explainability,Explainability,Explainability,Information Summary,Information Summary,Information Summary,Information Summary,Medication Safety,Medication Safety,Medication Safety,Medication Safety,Medication Safety,Questioning Skills,Questioning Skills,Questioning Skills,Questioning Skills,Questioning Skills,Robustness,Robustness,Self Awareness,Self Awareness,Self Awareness,Self Awareness,Self Awareness,Self Awareness,Self Awareness,Self Awareness,Self Awareness,Self Awareness,Self Awareness
ErrorType,diagnosis_reasoning_mismatch,diagnostic_questioning_bias,flawed_reasoning_process,incorrect_assumption,information_omission,bias_or_assumption,disrespectful_tone,lack_of_empathy,privacy_violation,lack_of_context_for_question,major_clarity_failure,minor_clarity_failure,major_fabrication,major_omission,minor_fabrication,minor_omission,drug_diagnosis_mismatch,incorrect_or_missing_explanation,missing_important_drugs,reference_drug_deviation,unsafe_drug_use,confrontational_questions,logical_jumps,repetitive_questions,suggestive_questions,unclear_questions,uncertain_answer_handling,unclear_expression_handling,Lifestyle_factors,allergies,broader_review_of_systems,chief_complaint_details,family_history,lifestyle_factors,mental_status,past_medical_history,relevant_symptom_review,social_history,specific_risk_factors
Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC-M2,0.1425,0.7127,0.914,0.5633,0.5679,0.0045,,0.3326,0.0045,0.0045,0.2624,0.2285,0.4253,0.3462,0.457,0.3778,0.1516,0.2217,0.638,0.9321,0.19,,,0.2489,,0.0566,0.9819,0.3032,,0.3348,0.5317,0.3167,0.2262,0.3281,0.3484,0.69,0.1516,0.4502,0.2896
Claude 4.0,0.1674,0.8733,0.9819,0.6063,0.8258,0.0113,,0.0475,0.0023,,0.3032,0.2851,0.3054,0.3145,0.3597,0.4163,0.2081,0.1878,0.5792,0.9796,0.2421,0.0045,0.0045,0.1629,0.009,0.1357,0.9344,0.2262,,0.4412,0.5679,0.2014,0.2104,0.4208,0.3937,0.6312,0.0837,0.5,0.2421
Claude 4.6,0.1018,0.6516,0.9299,0.5701,0.6018,0.0181,0.0023,0.2036,0.0068,0.0136,0.4548,0.3643,0.3643,0.2285,0.4186,0.319,0.1018,0.1018,0.5,0.9932,0.1968,,,0.0566,0.0045,0.1878,0.9729,0.2195,,0.6244,0.5339,0.4321,0.2647,0.414,0.3371,0.6584,0.1176,0.4548,0.2127
DS-V3,0.129,0.8054,0.9706,0.5317,0.8167,,,0.2376,,0.0045,0.1606,0.1878,0.19,0.5204,0.233,0.5181,0.1584,0.1652,0.5882,0.957,0.1878,,,0.2624,,0.0181,0.9796,0.233,,0.8891,0.4502,0.233,0.4253,0.457,0.2602,0.9525,0.0588,0.6109,0.319
DS-V4,0.0679,0.7398,0.9299,0.5543,0.6448,0.0023,,0.2783,0.0045,0.0045,0.2579,0.2059,0.3235,0.2262,0.4027,0.319,0.0814,0.086,0.5747,0.9276,0.086,,,0.0633,0.0023,0.1018,0.991,0.1878,,0.4208,0.5136,0.4977,0.2873,0.3846,0.3914,0.6719,0.1697,0.4729,0.2195
GPT-4o,0.138,0.7896,0.9887,0.509,0.9005,,,0.3869,,0.0045,0.362,0.3416,0.2511,0.5973,0.2308,0.552,0.2398,0.2081,0.6629,0.9593,0.2557,,,0.0995,,0.1131,0.9864,0.2398,0.0023,0.5362,0.5158,0.4706,0.3416,0.4525,0.3575,0.6561,0.0701,0.5588,0.2195
GPT-5,0.0249,0.6131,0.7172,0.3077,0.5158,0.0045,,0.3484,0.0023,0.0158,0.3371,0.2851,0.2285,0.2104,0.2986,0.3213,0.1041,0.0792,0.5339,0.9819,0.0928,,0.0023,0.0566,0.009,0.0136,0.9751,0.2534,,0.2805,0.4548,0.4095,0.2851,0.2647,0.371,0.871,0.1742,0.3891,0.2014
GPT-5.5,0.009,0.5792,0.5656,0.1516,0.4118,0.009,,0.3348,,0.0023,0.319,0.2511,0.2262,0.1448,0.276,0.1516,0.1312,0.0882,0.4276,0.9977,0.1584,,0.0023,0.0113,,0.0045,0.8982,0.1629,,0.4072,0.5,0.6538,0.3145,0.2941,0.3688,0.9276,0.2715,0.457,0.2534
HT-o1,0.0656,0.81,0.9457,0.3643,0.8914,0.0045,,0.4548,0.0045,0.0113,0.2964,0.2421,0.1312,0.457,0.1244,0.5136,0.1765,0.1448,0.6516,0.9253,0.2149,,0.0023,0.5204,,0.2217,0.9208,0.2262,,0.5633,0.6403,0.19,0.1968,0.5023,0.4548,0.6176,0.0882,0.4412,0.2127
MedGem,0.0995,0.8213,0.9321,0.5136,0.6719,0.0045,,0.1176,0.0045,0.0068,0.2353,0.2127,0.2896,0.3077,0.3032,0.4548,0.3077,0.2692,0.5792,0.991,0.3891,0.0023,,0.2421,0.0023,0.0498,0.9751,0.2986,,0.7602,0.5407,0.2919,0.3575,0.5068,0.4276,0.6923,0.0905,0.5566,0.2511
Qwen3,0.1787,0.7805,0.9683,0.6516,0.7353,0.0023,,0.1697,0.0023,0.009,0.5633,0.4774,0.4683,0.4729,0.5113,0.4457,0.1312,0.1086,0.5543,0.9593,0.1584,0.0023,0.0023,0.3824,,0.1719,0.8959,0.3032,,0.8778,0.4434,0.2466,0.3552,0.4344,0.2489,0.8348,0.0294,0.5611,0.2466
Qwen3.5,0.1018,0.7805,0.948,0.5701,0.6991,0.009,0.0023,0.1018,0.0045,0.0045,0.2262,0.1968,0.2602,0.2466,0.2715,0.3529,0.0724,0.0814,0.5724,0.9548,0.0905,,,0.0181,,0.0113,0.9864,0.1742,,0.2783,0.5679,0.6199,0.3032,0.3552,0.4299,0.8258,0.2285,0.5113,0.2443
