model,avg_f1,f1_std,f1_ci_lower,f1_ci_upper,unsafe_drug_use_rate,drug_diagnosis_mismatch_error_rate,error_std,error_ci_lower,error_ci_upper,total_cases
gpt55,0.309,0.238,0.287,0.331,0.158,0.06,0.21,0.041,0.08,442
gpt5,0.291,0.251,0.268,0.315,0.093,0.067,0.238,0.045,0.09,442
gpt4o,0.278,0.274,0.252,0.304,0.256,0.13,0.278,0.104,0.156,442
claude46,0.33,0.255,0.306,0.354,0.197,0.056,0.21,0.036,0.075,442
claude4,0.333,0.28,0.307,0.359,0.242,0.093,0.237,0.071,0.115,442
medgemma,0.327,0.268,0.302,0.352,0.389,0.099,0.218,0.078,0.119,442
qwen35,0.341,0.303,0.313,0.37,0.09,0.046,0.19,0.028,0.064,442
qwen3,0.288,0.294,0.26,0.315,0.158,0.073,0.233,0.051,0.095,442
baichuan,0.32,0.297,0.292,0.348,0.19,0.072,0.219,0.052,0.093,442
huatuo,0.289,0.306,0.261,0.318,0.215,0.107,0.269,0.082,0.132,442
deepseekv4,0.305,0.301,0.277,0.333,0.086,0.053,0.21,0.033,0.072,442
deepseek,0.299,0.293,0.272,0.327,0.188,0.082,0.23,0.06,0.103,442
